H21_Cycle_Num,H21_Cycle_Life(%),H21_C_Rest_Start_Volt(V),H21_C_Rest_End_Volt(V),H21_D_Rest_Start_Volt(V),H21_D_Rest_End_Volt(V),H21_CC_Chg_Cur(A),H21_CC_Chg_Volt(V),H21_CC_Chg_CapaCity(Ah),H21_CC_Chg_Energy(Wh),H21_CC_Chg_Time(s),H21_CCCV_Chg_Cur(A),H21_CCCV_Chg_Volt(V),H21_CCCV_Chg_CapaCity(Ah),H21_CCCV_Chg_Energy(Wh),H21_CCCV_Chg_Time(s),H21_CV_Chg_Time(s),H21_CC_Dischg_Cur(A),H21_CC_Dischg_Volt(V),H21_CC_Dischg_CapaCity(Ah),H21_CC_Dischg_Energy(Wh),H21_CC_Dischg_Time(s),H21_Volt_CC_DChg_00s,H21_Volt_CC_DChg_10s,H21_Rin(ohm),DChg_IR,Chg_IR
43,97.7809871990767,4.1954,4.1865,2.7083,2.9954,2.5,4.1989,3.903138666666666,14.906897777777779,5620.0,0.1,4.1995,4.753894222222222,18.47964444444445,9450.900000000001,3830.9000000000015,-5.0,2.5,4.748316444444445,16.33687822222222,3418.8,3.9918,3.9248,0.013400000000000033,0.03893999999999993,0.4814
44,97.91906858444844,4.1958,4.1874,2.7061,2.9892,2.5003,4.1985,3.910096444444445,14.939136000000001,5630.0,0.1,4.1998,4.753317333333333,18.480369777777774,9336.800000000001,3706.800000000001,-5.0,2.5,4.755021777777778,16.388901333333337,3423.5,3.989,3.9326,0.011280000000000002,0.03968000000000007,0.4836619605647323
45,97.91597509281618,4.1958,4.1874,2.707,2.9885,2.5000999999999998,4.1982,3.924152,14.978563555555557,5650.0,0.09998,4.1998,4.758200177777778,18.48134542222222,9280.300000000001,3630.300000000001,-5.0007,2.4993,4.754871555555557,16.393136,3423.4,3.9936,3.9338,0.011958325834383112,0.03875457435958974,0.48386064557417696
46,98.0926793618804,4.1995,4.1998,2.7083,2.9923,2.5003,4.1982,3.924124,14.978997333333332,5650.0,0.1,4.1998,4.757444444444444,18.47875911111111,9272.5,3622.5,-5.0,2.4996,4.763452444444444,16.43063288888889,3429.6000000000004,3.9995,3.9412,0.011660000000000004,0.040059999999999985,0.48230212374515047
47,97.61516506477798,4.1954,4.1861,2.707,2.9969,2.5000999999999998,4.1982,3.8892271111111114,14.85196622222222,5600.0,0.09997,4.1995,4.7485184,18.460558222222225,9489.1,3889.1000000000004,-4.9996,2.5,4.740264,16.307130666666666,3413.0,3.9828,3.9226,0.012040963277062172,0.040663253060244736,0.4805007799688012
48,97.61970462646316,4.1958,4.1871,2.6974,2.996,2.5003,4.1989,3.903122666666666,14.912596444444443,5620.0,0.1,4.1995,4.743804888888889,18.44307911111111,9352.7,3732.7000000000007,-4.9996,2.4996,4.740484444444444,16.316531555555557,3413.2000000000003,3.9865,3.9251,0.012280982478598268,0.040123209856788564,0.4811022677278726
49,97.55329523213312,4.1954,4.1865,2.7095,2.9972,2.5,4.1982,3.889183111111111,14.855100444444444,5600.0,0.1,4.1995,4.742095999999999,18.43691022222222,9412.900000000001,3812.9000000000015,-4.9996,2.4993,4.737259555555555,16.302663111111112,3410.9,3.9859,3.9242,0.012340987278982337,0.04012320985678847,0.48040000000000005
50,97.61220885827736,4.1958,4.1871,2.7055,2.9944,2.5000999999999998,4.1985,3.882183111111111,14.832423111111112,5590.0,0.1,4.1995,4.741181777777777,18.439793777777776,9414.0,3824.0,-5.0,2.5,4.740120444444445,16.325962666666666,3412.9,3.9936,3.9285,0.013019999999999943,0.03870000000000005,0.4816207351705932
51,97.58294882056056,4.1958,4.1871,2.699,2.9951,2.5000999999999998,4.1976,3.896182666666667,14.876382222222222,5610.0,0.1,4.1995,4.742724888888889,18.431505777777776,9352.0,3742.0,-5.0003,2.4996,4.738699555555556,16.322792888888888,3411.9,3.9862,3.9291,0.011419314841109564,0.04017758934463929,0.48098076076956947
52,97.5543660561597,4.1958,4.1871,2.7083,2.9951,2.5003,4.1989,3.8961466666666666,14.879791111111112,5610.0,0.09997,4.1995,4.740665600000001,18.426424888888892,9358.5,3748.5,-5.0,2.4996,4.737311555555556,16.317315555555556,3410.9,3.9859,3.9285,0.01147999999999998,0.04024000000000001,0.4814622245330561
53,97.34773362840484,4.1954,4.1861,2.7008,3.0006,2.5,4.1985,3.8752506666666666,14.798945777777774,5580.0,0.1,4.1995,4.736098222222222,18.414071111111113,9494.900000000001,3914.9000000000015,-5.0,2.4996,4.727277333333333,16.254846222222223,3403.8,3.9849,3.9186,0.013260000000000004,0.04023999999999992,0.4791600000000001
54,97.35890863811775,4.1954,4.1865,2.6974,3.0,2.5,4.1979,3.8752497777777775,14.803216,5580.0,0.1,4.1995,4.731011555555556,18.396981333333333,9414.900000000001,3834.9000000000015,-4.9996,2.5,4.7278199999999995,16.266561777777774,3404.2000000000003,3.9868,3.9226,0.01284102728218258,0.03994319545563636,0.4791599999999999
55,97.29900655902595,4.1954,4.1865,2.7105,3.0013,2.5,4.1982,3.8682604444444446,14.779143111111111,5570.0,0.1,4.1995,4.7294044444444445,18.395516444444446,9463.2,3893.2000000000007,-4.9996,2.5,4.724911111111113,16.253340444444444,3402.1000000000004,3.9828,3.922,0.012160972877830219,0.04074325946075677,0.47875999999999996
56,97.34171138729828,4.1954,4.1865,2.7058,2.9982,2.5,4.1985,3.861299555555555,14.753476444444445,5560.0,0.1,4.1995,4.727728444444444,18.392017777777777,9498.1,3938.1000000000004,-5.0,2.5,4.7269848888888895,16.27401066666667,3403.5,3.984,3.9251,0.01177999999999999,0.04049999999999994,0.48012
57,97.34436556650935,4.1958,4.1871,2.7039,2.9982,2.5003,4.1979,3.882228,14.827898666666666,5590.0,0.1,4.1995,4.730564888888889,18.390494222222223,9342.2,3752.2000000000007,-5.0003,2.5,4.727113777777777,16.280976,3403.6000000000004,3.9893,3.9273,0.012399256044637376,0.03955762654240745,0.47982242130944264
58,97.30964158055455,4.1958,4.1871,2.7061,2.9985,2.5000999999999998,4.1989,3.8822022222222223,14.830005333333332,5590.0,0.1,4.1995,4.729157333333333,18.386794666666663,9368.1,3778.1000000000004,-5.0003,2.4996,4.725427555555556,16.27543288888889,3402.4,3.9911,3.9273,0.012759234445933259,0.03919764814111157,0.4801407943682254
